"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "YAML", "HTML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"g:\Local Disk F\Source Codes\Flutter\docare\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 5, 15, 80
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\google-services.json", "JSON", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 76
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 1, 35
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"g:\Local Disk F\Source Codes\Flutter\docare\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"g:\Local Disk F\Source Codes\Flutter\docare\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"g:\Local Disk F\Source Codes\Flutter\docare\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"g:\Local Disk F\Source Codes\Flutter\docare\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"g:\Local Disk F\Source Codes\Flutter\docare\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\cardiologists.svg", "XML", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\dentist.svg", "XML", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\dermatologist.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\gastroenterologist.svg", "XML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 2, 51
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\histologist.svg", "XML", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 2, 115
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\histopathology.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\nephrologist.svg", "XML", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
