"filename", "language", "Dart", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\assets_path.dart", "Dart", 14, 3, 6, 23
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\colors.dart", "Dart", 37, 0, 16, 53
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\components_barrel.dart", "Dart", 8, 1, 2, 11
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\pick_image.dart", "Dart", 22, 0, 4, 26
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\primary_button.dart", "Dart", 44, 0, 2, 46
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\secondary_button.dart", "Dart", 14, 1, 2, 17
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\snack_bar.dart", "Dart", 34, 5, 2, 41
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\text.dart", "Dart", 21, 0, 3, 24
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\textfield.dart", "Dart", 45, 5, 4, 54
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\time_format.dart", "Dart", 15, 0, 2, 17
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\url_launcher.dart", "Dart", 12, 3, 2, 17
"g:\Local Disk F\Source Codes\Flutter\docare\lib\main.dart", "Dart", 340, 19, 29, 388
"g:\Local Disk F\Source Codes\Flutter\docare\lib\models\appointments.dart", "Dart", 76, 2, 4, 82
"g:\Local Disk F\Source Codes\Flutter\docare\lib\models\date_time.dart", "Dart", 0, 15, 4, 19
"g:\Local Disk F\Source Codes\Flutter\docare\lib\models\doctor_model.dart", "Dart", 62, 2, 4, 68
"g:\Local Disk F\Source Codes\Flutter\docare\lib\models\user_model.dart", "Dart", 32, 2, 4, 38
"g:\Local Disk F\Source Codes\Flutter\docare\lib\navigation\navigator.dart", "Dart", 14, 0, 3, 17
"g:\Local Disk F\Source Codes\Flutter\docare\lib\network\connection.dart", "Dart", 0, 8, 2, 10
"g:\Local Disk F\Source Codes\Flutter\docare\lib\no_network.dart", "Dart", 119, 16, 13, 148
"g:\Local Disk F\Source Codes\Flutter\docare\lib\public_packages.dart", "Dart", 6, 1, 2, 9
"g:\Local Disk F\Source Codes\Flutter\docare\lib\push_notification\push_notidication.dart", "Dart", 64, 41, 33, 138
